# Spotify playlist "日本の歌" by jayden: https://open.spotify.com/playlist/6Bb0fLmdSvA3YmkhhVMvTc
# Read from the public playlist page on 2026-09-21. It has 541 songs; 19 were set aside (15 duplicates and 4 covers,
# remixes or live versions), leaving the 522 below.
# lang: ja
# One song per line: title|artists  (artists comma-separated, exactly as Spotify shows them)
カタオモイ|Aimer
Suzume (feat. Toaka)|RADWIMPS, Toaka
夜に駆ける|YOASOBI
Haru wo Tsugeru|yama
お勉強しといてよ|ZUTOMAYO
Toy|takayan
Kokoronashi|majiko
Subtitle|OFFICIAL HIGE DANDISM
Lemon|Kenshi Yonezu
たぶん|YOASOBI
ただ声一つ|Rokudenashi
Gurenge (From "Demon Slayer: Kimetsu no Yaiba")|Akano
群青|YOASOBI
First Love|Hikaru Utada
Ref:rain|Aimer
Compared Child|TUYU
好きだから。|Yuika
心做し|Akane
Akuma no Ko|Ai Higuchi
オレンジ|7!!
Under the Tree|SiM
祝福|YOASOBI
Call Of Silence (Attack On Titan)|Lo-Fi Luke, SUSHI
優しい彗星|YOASOBI
ハルジオン|YOASOBI
花に亡霊|Yorushika
Tiny Light|Akari Kito
Shinunoga E-Wa|Fujii Kaze
KICK BACK|Kenshi Yonezu
B∀LK|SawanoHiroyuki[nZk], suis from Yorushika
Hontowane,|yangskinny
hide-and-seek|AliA
ピースサイン - Peace Sign|Kenshi Yonezu
Shout Baby|Ryokuoushoku Shakai
知らないままで|Rokudenashi
Usseewa|Ado
Fleeting Lullaby|Ado
New Genesis|Ado
打上花火|Daoko, Kenshi Yonezu
Doushite (feat. Emi Noda)|TakaseToya, emi noda
Kimi no tonari ni|Matsuri
シルエット|KANA-BOON
Flamingo|Kenshi Yonezu
Kaikai Kitan|Eve
シャル・ウィ・ダンス？|ReoNa
August 15|FUNLETTERS, konoha
Daisy|Aimer
escalate|Aimer
Paradise|NiziU
true colors|Rei Yasuda
不可幸力|Vaundy
osmanthus (feat. Ado)|whaledontsleep, Ado
NIGHT DANCER|imase
色彩|yama
ただ君に晴れ|Yorushika
One Last Kiss|Hikaru Utada
lens|yeti let you notice
さよなら、まぼろし - demo|イツエ
キミのいない世界|culenasm
悪者|whaledontsleep, Aizawa
溺れた魚|UNIDOTS
slash|yama
SOUVENIR|BUMP OF CHICKEN
三行半|cadode
ちゅ、多様性。|ano
Red:birthmark|AiNA THE END
よるのあと - From THE FIRST TAKE|adieu
あなたに|MONGOL800
飛行|Yorushika
アイドル|YOASOBI
Setsunano Chikai|Neko Hacker, 由崎司
あてもなく|Aimer
It's okay|HITOMIN
アルジャーノン|Yorushika
Ibara|Ado
ツバメ (feat. ミドリーズ)|YOASOBI, Midories
春を告げる|yama
三時のキス|Rokudenashi
Want to eat you|takayan
Nagisa|imase
I’m invincible|Ado
絆ノ奇跡|MAN WITH A MISSION, milet
メフィスト|QUEEN BEE
hikari|FUNLETTERS
酔生夢死|culenasm
Taishitakotonaiwa (feat. eco)|Mashiro Shirakami, eco
Spica|Rokudenashi
Amanojaku - Wing Piano Ver.|Akie
Ｗ●ＲＫ|ꉈꀧ꒒꒒ꁄꍈꍈꀧ꒦ꉈ ꉣꅔꎡꅔꁕꁄ, Sheena Ringo
フィクション|sumika
I'm a mess|MY FIRST STORY
Pretender|OFFICIAL HIGE DANDISM
灰色と青 ( + 菅田将暉 )|Kenshi Yonezu, SUDA MASAKI
月を見ていた - Moongazing|Kenshi Yonezu
We Are|ONE OK ROCK
Stand Out Fit In|ONE OK ROCK
また君と|JAY'ED, Ms.OOJA
Overfly|Luna Haruna
The Flame of Love|Rokudenashi
ERROR|Plastic Girl In Closet
地球儀 - Spinning Globe|Kenshi Yonezu
Mirai=Teleport|ねんね
Alice in 冷凍庫|MARY
アスノヨゾラ哨戒班|MARY
Mirror acoustic ver|Rei Yasuda
Finale.|eill
体温|suisoh
Kiddy|Rokudenashi
エソア|ももすももす
貴方の側に。|Riria.
ヰタ・フィロソフィカ|Kashitaro Ito
Yoakashi|Matsuri
夏夜のマジック|Asako Toki
海のまにまに|YOASOBI
耳わほう|麦吉_Maggie
Where The Stars Fall (Up All Night)|Prod.Dex, DAZBEE
Show|Ado
新時代 - ウタ from ONE PIECE FILM RED|Ado
Good bye-bye|TOMIOKA AI
恋泥棒。|Yuika
you are my curse|nyamura
LIES GOES ON|May'n
春泥棒|Yorushika
勇者|YOASOBI
KISS OF DEATH（Produced by HYDE）|Mika Nakashima
貴方の恋人になりたい|ChoQMay
グランドエスケープ|RADWIMPS, Toko Miura
青と夏|Mrs. GREEN APPLE
ぼくらの|Eve
KIMINOMAMA|MUKADE, INMAN
Now or Never|NORTH
君がいないこの世界では|NORTH
Gyu|YOAKE
Kekkyokukimihasa|tanakakun
Think About You|NORTH
消えるまで|Hana Hope
The Reason Why|NORTH
RA RI RU RE|TakaseToya
あなたの季節が|tonun
Less Kiss|TakaseToya
Sunny|YOAKE
FURARI|sloppy dim
月光浴|Yorushika
Emerald|capo2
Fragile|Tota
紡ぐ|Tota
花に水|あれくん
衝撃|Yuko Ando
Name of Love|cinema staff
風を食む|Yorushika
忘れじの言の葉|DAZBEE
unravel|Ado
utatane|Leina
crossing field|LiSA
紅蓮華|LiSA
炎|LiSA
アンコール|YOASOBI
斜陽|Yorushika
綺羅キラー|ZUTOMAYO, Mori Calliope
ミラーチューン|ZUTOMAYO
世界は恋に落ちている|CHiCO with HoneyWorks
Good-bye, See You Tomorrow|Rokudenashi
消えない|THE BINARY
麻痺|yama
幽霊東京|Ayase
ハルカ|YOASOBI
永遠のあくる日|Ado
だから僕は音楽を辞めた|Yorushika
ミスター|YOASOBI
解けない駆け引き|culenasm
Seikai|RADWIMPS
プロローグ|Uru
Obsessed|Ayumu Imazu
ATARI|Ayumu Imazu
Don't Mind Me (feat. 花村想太)|Ayumu Imazu, 花村想太
Wherever you are|ONE OK ROCK
Unstable - NORTH's Japanese Version|Tom Frane, RJ Pasin, NORTH
残響散歌|Aimer
800|Aimer
再会 (produced by Ayase)|LiSA, Uru
夜撫でるメノウ|Ayase
Always and Forever|SERRA
水平線|back number
「僕は...」|Atarayo
サクラキミワタシ - SAKURA KIMI WATASHI|tuki.
アイネクライネ|Kenshi Yonezu
好きだ|YOASOBI
秒針を噛む|ZUTOMAYO
The Brave|YOASOBI
ハレハレヤ|UniteUp!, KIKUNOYU
きみのヒーロー|あれくん
KANATA HALUKA|RADWIMPS
Blur|culenasm
Gravity (feat. Satoshi Fujihara) [OFFICIAL HIGE DANDISM]|ONE OK ROCK, Satoshi Fujihara
拝啓、わたしへ|LiSA
晴る|Yorushika
Anytime Anywhere|milet
晩餐歌 (弾き語りver) - Bansanka (Acoustic ver)|tuki.
Demo,|TakaseToya, Ren
HAKUAI|TakaseToya, Anson Kong
suretigai|Soala
koihanabi|Soala
嘘じゃない|ZUTOMAYO
君じゃらし|YOAKE
One Way Ticket|ONE OK ROCK
毎日 - Every Day|Kenshi Yonezu
junkie|swetty
Ai to Highball|LET ME KNOW
ベテルギウス|Yuuri
奏（かなで）|Uru
白日|King Gnu
あなたが知らない貴方のうた|Yuika
Palette|常闇トワ
My Dearest|supercell
誰我為|TK from Ling tosite sigure
UNDEAD|YOASOBI
Sign|Aimer
FAKEit|SawanoHiroyuki[nZk], Laco
ブラックボックス|LiSA
Asu no Yozora Shoukaihan|Yuaru
Overdose|natori
猿芝居|natori
Kawaikutegomen (feat. capi)|HoneyWorks, Capi
Sincerely|TRUE
みちしるべ|茅原実里
WILL|TRUE
ひゅるりらぱっぱ - HYURURIRAPAPPA|tuki.
地獄恋文 - Inferno Love Letter|tuki.
Dream lantern|RADWIMPS
アンビバレント|Uru
青のすみか|Tatsuya Kitani
小さな恋のうた|アーリャ（CV：上坂すみれ）
Oz.|yama
In The Orbit We Meet Again|Prod.Dex, DAZBEE
Bling-Bang-Bang-Born|Creepy Nuts
poisonous "B"|TakaseToya
LilaS|SawanoHiroyuki[nZk], たかはしほのか
天使たちの歌 - TVアニメ「義妹生活」オープニング主題歌|fhána
水槽のブランコ|Kitri
Avid|SawanoHiroyuki[nZk], mizuki
Love°C|TakaseToya
鬼ノ宴|TOMONARI SORA
it’s okay|LANA
がらくた - JUNK|Kenshi Yonezu
ファタール - Fatal|GEMN, Kento Nakajima, Tatsuya Kitani
LADY|Kenshi Yonezu
憂、燦々|Yorushika
CRY|SawanoHiroyuki[nZk], mizuki
From Now!|Ayase
春はゆく - the late spring ver.|Aimer
orion|Kenshi Yonezu
カメレオン|King Gnu
Zenzenzense - movie ver.|RADWIMPS
Marigold|Aimyon
リフレイン|Atarayo
明け方の夏|Atarayo
realize|Atarayo
幸せについて、僕が考えたこと|井上絃
Naa|YOAKE
好きにさせた癖に|あれくん
不法侵入|ZUTOMAYO
サマータイムシンデレラ|Ryokuoushoku Shakai
キラキラ|Ryokuoushoku Shakai
Sign|Lilas
メロドラマ|natori, imase
あの夢をなぞって|YOASOBI
RED OUT|Kenshi Yonezu
マルゲリータ ＋ アイナ・ジ・エンド|Kenshi Yonezu, AiNA THE END
死神|Kenshi Yonezu
とまれみよ - Stop Look Both Ways|Kenshi Yonezu
Himawari|Ado
都落ち|Yorushika
愛の賞味期限 - Love Expiration Date|tuki.
It can't end sentimentally|TakaseToya
あのね。|あれくん, Yuika
Fish looking at 9|957
僕らしさ|Yuika
アポリア|Yorushika
Goodbye Goodnight|culenasm, QLER
オリジン|yama
SOLO (feat. NOA, Novel Core)|Ayumu Imazu, NOA, Novel Core
あんたなんて。|Riria.
アイモライモ - Aimoraimo|tuki.
草々不一|Rokudenashi
Albireo|Rokudenashi
Shape of Us|capo2
シツレンカ|丸山純奈
Utopia|tayori
エピローグまで|culenasm
雫|Atarayo
向日葵|manaco
Where Are You|Marcy
青の蛍言葉|SeA0
TENTO|sajou no hana
おもかげ (produced by Vaundy)|milet, Aimer, Lilas
Azalea|Kenshi Yonezu
太陽|Yorushika
Dawn Diver|ミセカイ
The 1st of the 13th month|TakaseToya
IN_MY_HEAD|natori
Solfa wo kiitayoruni(ReRec ver.)|hello montesquieu
Moshi Moshi (feat. MUKADE)|Nozomi Kitay, GAL D, MUKADE
existence|kuudere, utumiyqcom
README|suisoh, TAKU INOUE
Stroll|Tota
Algernon|Matsuri
ゆるされないで|suisoh
Nemuranai Yume|DAZBEE
i miss you|kuudere
灰かぶり|Toaka
Discord-disco|Toaka
又三郎|Yorushika
Some of them Uh|YOAKE
Oh UnHappy Day|神崎エルザ, ReoNa
ずるい君。|Riria.
SHITSU KOI (feat. Matsuri)|TakaseToya, Matsuri
Tsumugu|Tota
Toxic|神崎エルザ, ReoNa
願い〜あの頃のキミへ〜|MIREI
Dear My Boo|MIREI
革命|神崎エルザ, ReoNa
Pre-Romance|eill, ☆Taku Takahashi
HYDRA|MYTH & ROID
HEART BEAT|YOASOBI
Sleepless Night|yama
シネマ|Ayase
嘘つき|Atarayo
sayonara|MIREI
あなたがいることで|Uru
hanataba|milet
浮気されたけどまだ好きって曲。 - Remastering|Riria.
純恋愛のインゴット - Pure Love Ingot|tuki.
ラストティーン|Yuika
SCOPE|Aimer
夢見るレディオ|UNIDOTS
失恋ソング沢山聴いて 泣いてばかりの私はもう。|Riria.
cold rain|Aimer
Sion (feat. isui)|Islet, Isui
March of Time|Aimer
イツメン。|Riria.
Walkin' In My Lane|milet
紙一重|Uru
Heikousen|Eve, suis from Yorushika
アイコトバ|AiNA THE END
言の刃|Rokudenashi
月面着陸計画 - Moon Landing Plan|tuki.
マルボロ - Marlboro|tuki.
Indies|Matsuri
いびつな心 (feat. むﾄ)|須田景凪, Muto
Hoshi Ni Naru (feat. isui)|Islet, Isui
Sleepwalking|tayori
BURN|yama, WurtS
Monoomoi|Aizora to Tsuki
桜想|Yuika
